"","Reps","region_index","Time","Marker","mean_fluor"
"221","Rep2",4,"4h","Sec7",0.0490523128095238
"222","Rep2",4,"4h","Vac8",0.04262317795
"223","Rep2",4,"8h","Grh1",0.04851344948
"224","Rep2",4,"8h","HDEL",0.07730927855
"225","Rep2",4,"8h","Pex6",0.057674246
"226","Rep2",4,"8h","Rpl25",0.0504711929642857
"227","Rep2",4,"8h","Scad2",0.0882696927
"228","Rep2",4,"8h","Sec7",0.0497841041428571
"229","Rep2",4,"8h","Vac8",0.0555290196666667
"230","Rep2",5,"24h","Grh1",0.140829490807692
"231","Rep2",5,"24h","HDEL",0.245571978047619
"232","Rep2",5,"24h","Pex6",0.10936299688
"233","Rep2",5,"24h","Rpl25",0.1184123468
"234","Rep2",5,"24h","Scad2",0.21938869005
"235","Rep2",5,"24h","Sec7",0.180303437
"236","Rep2",5,"24h","Vac8",0.1147640541
"237","Rep2",5,"4h","Grh1",0.0168543301666667
"238","Rep2",5,"4h","HDEL",0.128096898095238
"239","Rep2",5,"4h","Pex6",0.1239696334
"240","Rep2",5,"4h","Rpl25",0.142569791666667
"241","Rep2",5,"4h","Scad2",0.1686783259
"242","Rep2",5,"4h","Sec7",0.120834331428571
"243","Rep2",5,"4h","Vac8",0.06995906645
"244","Rep2",5,"8h","Grh1",0.09824082524
"245","Rep2",5,"8h","HDEL",0.14909313055
"246","Rep2",5,"8h","Pex6",0.1396809958
"247","Rep2",5,"8h","Rpl25",0.1099420455
"248","Rep2",5,"8h","Scad2",0.1599218524
"249","Rep2",5,"8h","Sec7",0.133193777952381
"250","Rep2",5,"8h","Vac8",0.080296247952381
"251","Rep3",1,"0h","Grh1",0.106281808
"252","Rep3",1,"0h","HDEL",0.106607747052632
"253","Rep3",1,"0h","Pex6",0.0538998812142857
"254","Rep3",1,"0h","Rpl25",0.15586308824
"255","Rep3",1,"0h","Scad2",0.16746784455
"256","Rep3",1,"0h","Sec7",0.127223804863636
"257","Rep3",1,"0h","Vac8",0.069295001
"258","Rep3",1,"24h","Grh1",0.0211413359615385
"259","Rep3",1,"24h","HDEL",0.01947114895
"260","Rep3",1,"24h","Pex6",0.02351326576
"261","Rep3",1,"24h","Rpl25",0.0376021025833333
"262","Rep3",1,"24h","Scad2",0.04896910485
"263","Rep3",1,"24h","Sec7",0.0319530067
"264","Rep3",1,"24h","Vac8",0.0159009297916667
"265","Rep3",1,"4h","Grh1",0.0651539917407407
"266","Rep3",1,"4h","HDEL",0.04223123165
"267","Rep3",1,"4h","Pex6",0.0613202918518519
"268","Rep3",1,"4h","Rpl25",0.0607157108076923
"269","Rep3",1,"4h","Scad2",0.101693351818182
"270","Rep3",1,"4h","Sec7",0.0571362365454545
"271","Rep3",1,"4h","Vac8",0.06206901708
"272","Rep3",1,"8h","Grh1",0.0431575332692308
"273","Rep3",1,"8h","HDEL",0.0351376305
"274","Rep3",1,"8h","Pex6",0.0464620200645161
"275","Rep3",1,"8h","Rpl25",0.0777184412962963
"276","Rep3",1,"8h","Scad2",0.11575079375
"277","Rep3",1,"8h","Sec7",0.045969525
"278","Rep3",1,"8h","Vac8",0.07209012688
"279","Rep3",2,"0h","Grh1",0.11889318936
"280","Rep3",2,"0h","HDEL",0.109478967473684
"281","Rep3",2,"0h","Pex6",0.0532503974285714
"282","Rep3",2,"0h","Rpl25",0.117890271
"283","Rep3",2,"0h","Scad2",0.15631938865
"284","Rep3",2,"0h","Sec7",0.120110726954545
"285","Rep3",2,"0h","Vac8",0.06507902808
"286","Rep3",2,"24h","Grh1",0.0243491441153846
"287","Rep3",2,"24h","HDEL",0.02438390035
"288","Rep3",2,"24h","Pex6",0.02551254276
"289","Rep3",2,"24h","Rpl25",0.0757689012083333
"290","Rep3",2,"24h","Scad2",0.05567816905
"291","Rep3",2,"24h","Sec7",0.03249542925
"292","Rep3",2,"24h","Vac8",0.0188771245416667
"293","Rep3",2,"4h","Grh1",0.0675662841111111
"294","Rep3",2,"4h","HDEL",0.0499515221
"295","Rep3",2,"4h","Pex6",0.0646561045555556
"296","Rep3",2,"4h","Rpl25",0.0641067729230769
"297","Rep3",2,"4h","Scad2",0.104127107227273
"298","Rep3",2,"4h","Sec7",0.0593968404545455
"299","Rep3",2,"4h","Vac8",0.06211812636
"300","Rep3",2,"8h","Grh1",0.0540440561923077
"301","Rep3",2,"8h","HDEL",0.0466947786
"302","Rep3",2,"8h","Pex6",0.0533958445806452
"303","Rep3",2,"8h","Rpl25",0.0903244956296296
"304","Rep3",2,"8h","Scad2",0.1134288711
"305","Rep3",2,"8h","Sec7",0.0545224933181818
"306","Rep3",2,"8h","Vac8",0.07396694832
"307","Rep3",3,"0h","Grh1",0.17735947124
"308","Rep3",3,"0h","HDEL",0.136647226526316
"309","Rep3",3,"0h","Pex6",0.0632770566071429
"310","Rep3",3,"0h","Rpl25",0.13218161628
"311","Rep3",3,"0h","Scad2",0.1779100341
"312","Rep3",3,"0h","Sec7",0.152703574636364
"313","Rep3",3,"0h","Vac8",0.0920497714
"314","Rep3",3,"24h","Grh1",0.0403389862307692
"315","Rep3",3,"24h","HDEL",0.0391299676
"316","Rep3",3,"24h","Pex6",0.03478555376
"317","Rep3",3,"24h","Rpl25",0.329859611666667
"318","Rep3",3,"24h","Scad2",0.0674144978
"319","Rep3",3,"24h","Sec7",0.0323411234
"320","Rep3",3,"24h","Vac8",0.0204931774166667
"321","Rep3",3,"4h","Grh1",0.0641123451111111
"322","Rep3",3,"4h","HDEL",0.05782671135
"323","Rep3",3,"4h","Pex6",0.0630008279259259
"324","Rep3",3,"4h","Rpl25",0.0735499854230769
"325","Rep3",3,"4h","Scad2",0.0607805971363636
"326","Rep3",3,"4h","Sec7",0.0527552478636364
"327","Rep3",3,"4h","Vac8",0.073351926
"328","Rep3",3,"8h","Grh1",0.0747630751538462
