lif_file,regions_file,region_index,region_name,channel_1_region_volume,channel_1_unscaled_region_volume,region_area,Norm_fluoro,Reps,Time,Marker
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series012.zip,1,0002-0196-0267,186802,732.5569,8142,0.089972599,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series012.zip,2,0002-0272-0269,212048,831.56085,8559,0.097156309,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series012.zip,3,0002-0360-0283,174018,682.4236,5485,0.124416335,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series013.zip,1,0002-0179-0383,189444,742.91766,7603,0.097713752,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series013.zip,2,0002-0261-0348,313145,1228.0197,11950,0.102763155,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series013.zip,3,0002-0362-0301,190876,748.5334,6009,0.124568714,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series014.zip,1,0002-0283-0400,242668,951.6393,9983,0.095325984,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series014.zip,2,0002-0264-0300,310867,1219.0864,12700,0.095991055,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series014.zip,3,0002-0236-0192,219007,858.85114,6587,0.130385781,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series015.zip,1,0002-0213-0184,237214,930.2511,8122,0.114534733,Rep1,0h,HDEL-GFP
